"Domain","MX","TXT","SRV","Error"
"capital-egy.com",,,"autodiscover.worldposta.com",
"rawaj-eg.com","wp-secure-cloudmail02.worldposta.com",,,
"rawaj-eg.com","wp-secure-cloudmail03.worldposta.com",,,
"rawaj-eg.com","wp-secure-cloudmail04.worldposta.com",,,
"rawaj-eg.com","wp-secure-cloudmail01.worldposta.com",,,
"rawaj-eg.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"rawaj-eg.com",,"WorldPosta-verification=cVKswLRdNzlFonrBeTPLtN7QMvo1EZKyUht5D2tl4upavfdFXz",,
"rawaj-eg.com",,,"autodiscover.worldposta.com",
"matjjari.com","wp-secure-cloudmail01.worldposta.com",,,
"matjjari.com","wp-secure-cloudmail02.worldposta.com",,,
"matjjari.com","wp-secure-cloudmail03.worldposta.com",,,
"matjjari.com","wp-secure-cloudmail04.worldposta.com",,,
"matjjari.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"matjjari.com",,,"autodiscover.worldposta.com",
"aswaqfathalla.com","wp-secure-cloudmail02.worldposta.com",,,
"aswaqfathalla.com","wp-secure-cloudmail03.worldposta.com",,,
"aswaqfathalla.com","wp-secure-cloudmail04.worldposta.com",,,
"aswaqfathalla.com","wp-secure-cloudmail01.worldposta.com",,,
"aswaqfathalla.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"aswaqfathalla.com",,,"autodiscover.worldposta.com",
"sewedy.com.eg","wp-secure-cloudmail03.worldposta.com",,,
"sewedy.com.eg","wp-secure-cloudmail01.worldposta.com",,,
"sewedy.com.eg","wp-secure-cloudmail02.worldposta.com",,,
"sewedy.com.eg","wp-secure-cloudmail04.worldposta.com",,,
"sewedy.com.eg",,"v=spf1 mx include:_spf.worldposta.com -all",,
"sewedy.com.eg",,,"autodiscover.worldposta.com",
"zambiaelectrometer.co.zm","wp-secure-cloudmail04.worldposta.com",,,
"zambiaelectrometer.co.zm","wp-secure-cloudmail03.worldposta.com",,,
"zambiaelectrometer.co.zm","wp-secure-cloudmail02.worldposta.com",,,
"zambiaelectrometer.co.zm","wp-secure-cloudmail01.worldposta.com",,,
"zambiaelectrometer.co.zm",,"v=spf1 mx include:_spf.worldposta.com -all",,
"zambiaelectrometer.co.zm",,,"autodiscover.worldposta.com",
"gasmetro.com","wp-secure-cloudmail02.worldposta.com",,,
"gasmetro.com","wp-secure-cloudmail01.worldposta.com",,,
"gasmetro.com","wp-secure-cloudmail03.worldposta.com",,,
"gasmetro.com","wp-secure-cloudmail04.worldposta.com",,,
"gasmetro.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"gasmetro.com",,,"autodiscover.worldposta.com",
"Genena.com","wp-secure-cloudmail04.worldposta.com",,,
"Genena.com","wp-secure-cloudmail03.worldposta.com",,,
"Genena.com","wp-secure-cloudmail02.worldposta.com",,,
"Genena.com","wp-secure-cloudmail01.worldposta.com",,,
"Genena.com",,"v=spf1 include:_spf.google.com ~all",,
"Genena.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"Genena.com",,"solid-cp-verification=GIk4M6ykwQQp5ijs8rlk3z84rGqsS1zxRL8BQJndlI1Hw24Ina",,
"Genena.com",,"MS=8385E3DD69B11C0FA42F11762BCFDDCE7EDDFB8F",,
"Genena.com",,"MS=ms90523473",,
"Genena.com",,"MS=ms12853099",,
"Genena.com",,,"autodiscover.worldposta.com",
"genenaproj.com",,,,"genenaproj.com : DNS name does not exist"
"inmadevelopments.com","wp-secure-cloudmail01.worldposta.com",,,
"inmadevelopments.com","wp-secure-cloudmail02.worldposta.com",,,
"inmadevelopments.com","wp-secure-cloudmail03.worldposta.com",,,
"inmadevelopments.com","wp-secure-cloudmail04.worldposta.com",,,
"inmadevelopments.com",,"WorldPosta-verification=mLq86WCGD0SLeP0PB0KesIn5imPsk9P2SN5FNMM1QX5i9WNXa1",,
"inmadevelopments.com",,"WorldPosta-verification=0JpwRcJcVhtlsYjtJaePX16KNIprDcpO8Ok80GJGlI28pVN28H",,
"inmadevelopments.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"inmadevelopments.com",,,"autodiscover.worldposta.com",
"inma.com.eg","wp-secure-cloudmail01.worldposta.com",,,
"inma.com.eg","wp-secure-cloudmail02.worldposta.com",,,
"inma.com.eg","wp-secure-cloudmail03.worldposta.com",,,
"inma.com.eg","wp-secure-cloudmail04.worldposta.com",,,
"inma.com.eg",,"WorldPosta-verification=7kl1n1ZMm5qGJ2YRepGnxxbp1tLZNoRekbBS8uARrpDazVLKZ9",,
"inma.com.eg",,"v=spf1 mx ;;include:_spf.worldposta.com ?all",,
"inma.com.eg",,,"autodiscover.worldposta.com",
"inmaconstruction.com","wp-secure-cloudmail02.worldposta.com",,,
"inmaconstruction.com","wp-secure-cloudmail03.worldposta.com",,,
"inmaconstruction.com","wp-secure-cloudmail04.worldposta.com",,,
"inmaconstruction.com","wp-secure-cloudmail01.worldposta.com",,,
"inmaconstruction.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"inmaconstruction.com",,,"autodiscover.worldposta.com",
"genenavacation.com","wp-secure-cloudmail01.worldposta.com",,,
"genenavacation.com","wp-secure-cloudmail02.worldposta.com",,,
"genenavacation.com","wp-secure-cloudmail03.worldposta.com",,,
"genenavacation.com","wp-secure-cloudmail04.worldposta.com",,,
"genenavacation.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"genenavacation.com",,,"autodiscover.worldposta.com",
"triviumbc.com","wp-secure-cloudmail01.worldposta.com",,,
"triviumbc.com","wp-secure-cloudmail02.worldposta.com",,,
"triviumbc.com","wp-secure-cloudmail03.worldposta.com",,,
"triviumbc.com","wp-secure-cloudmail04.worldposta.com",,,
"triviumbc.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"triviumbc.com",,,"autodiscover.worldposta.com",
"beebreakegypt.com","wp-secure-cloudmail01.worldposta.com",,,
"beebreakegypt.com","wp-secure-cloudmail02.worldposta.com",,,
"beebreakegypt.com","wp-secure-cloudmail04.worldposta.com",,,
"beebreakegypt.com","wp-secure-cloudmail03.worldposta.com",,,
"beebreakegypt.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"beebreakegypt.com",,,"autodiscover.worldposta.com",
"triviumzayed.com","wp-secure-cloudmail04.worldposta.com",,,
"triviumzayed.com","wp-secure-cloudmail01.worldposta.com",,,
"triviumzayed.com","wp-secure-cloudmail03.worldposta.com",,,
"triviumzayed.com","wp-secure-cloudmail02.worldposta.com",,,
"triviumzayed.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"triviumzayed.com",,,"autodiscover.worldposta.com",
"inmacommercial.com","wp-secure-cloudmail01.worldposta.com",,,
"inmacommercial.com","wp-secure-cloudmail02.worldposta.com",,,
"inmacommercial.com","wp-secure-cloudmail03.worldposta.com",,,
"inmacommercial.com","wp-secure-cloudmail04.worldposta.com",,,
"inmacommercial.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"inmacommercial.com",,,"autodiscover.worldposta.com",
"inmaproperties.com","wp-secure-cloudmail01.worldposta.com",,,
"inmaproperties.com","wp-secure-cloudmail02.worldposta.com",,,
"inmaproperties.com","wp-secure-cloudmail03.worldposta.com",,,
"inmaproperties.com","wp-secure-cloudmail04.worldposta.com",,,
"inmaproperties.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"inmaproperties.com",,,"autodiscover.worldposta.com",
"PORTAWEST.COM","wp-secure-cloudmail03.worldposta.COM",,,
"PORTAWEST.COM","wp-secure-cloudmail04.worldposta.COM",,,
"PORTAWEST.COM","wp-secure-cloudmail01.worldposta.COM",,,
"PORTAWEST.COM","wp-secure-cloudmail02.worldposta.COM",,,
"PORTAWEST.COM",,"WorldPosta-verification=RXQc7WBybyvt6EH9zBp1Ew1JBPhxxNUGzwW5O8bA1m3y4MkDRg",,
"PORTAWEST.COM",,"v=spf1 mx include:_spf.worldposta.com -all",,
"PORTAWEST.COM",,,"autodiscover.worldposta.com",
"hartmannegypt.com","wp-secure-cloudmail03.worldposta.com",,,
"hartmannegypt.com","wp-secure-cloudmail04.worldposta.com",,,
"hartmannegypt.com","wp-secure-cloudmail01.worldposta.com",,,
"hartmannegypt.com","wp-secure-cloudmail02.worldposta.com",,,
"hartmannegypt.com",,"v=spf1 ip4:5.79.87.207 include:exaservers.com ip4:195.154.166.247 include:_spfips1.exaservers.com ip4:5.79.69.109 ip4:5.79.69.111 ip4:5.79.87.230 +a +mx +ip4:85.17.153.211 ~all",,
"hartmannegypt.com",,,"autodiscover.worldposta.com",
"ferrometalco.com","wp-secure-cloudmail01.worldposta.com",,,
"ferrometalco.com","wp-secure-cloudmail02.worldposta.com",,,
"ferrometalco.com","wp-secure-cloudmail03.worldposta.com",,,
"ferrometalco.com","wp-secure-cloudmail04.worldposta.com",,,
"ferrometalco.com",,"MS=ms76788179",,
"ferrometalco.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"ferrometalco.com",,,"autodiscover.worldposta.com",
"eps-egypt.com","wp-secure-cloudmail01.worldposta.com",,,
"eps-egypt.com","wp-secure-cloudmail04.worldposta.com",,,
"eps-egypt.com","wp-secure-cloudmail03.worldposta.com",,,
"eps-egypt.com","wp-secure-cloudmail02.worldposta.com",,,
"eps-egypt.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"eps-egypt.com",,,"autodiscover.worldposta.com",
"eps-egypt.org","wp-secure-cloudmail04.worldposta.com",,,
"eps-egypt.org","wp-secure-cloudmail01.worldposta.com",,,
"eps-egypt.org","wp-secure-cloudmail02.worldposta.com",,,
"eps-egypt.org","wp-secure-cloudmail03.worldposta.com",,,
"eps-egypt.org",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"eps-egypt.org",,,"autodiscover.worldposta.com",
"Elitehospital.org","wp-secure-cloudmail01.worldposta.com",,,
"Elitehospital.org","wp-secure-cloudmail02.worldposta.com",,,
"Elitehospital.org","wp-secure-cloudmail03.worldposta.com",,,
"Elitehospital.org","wp-secure-cloudmail04.worldposta.com",,,
"Elitehospital.org",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"Elitehospital.org",,"facebook-domain-verification=vqb5npdpaxadzc8rkac5viptvgv1up",,
"Elitehospital.org",,,"autodiscover.worldposta.com",
"clue-ces.com","wp-secure-cloudmail03.worldposta.com",,,
"clue-ces.com","wp-secure-cloudmail04.worldposta.com",,,
"clue-ces.com","wp-secure-cloudmail01.worldposta.com",,,
"clue-ces.com","wp-secure-cloudmail02.worldposta.com",,,
"clue-ces.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"clue-ces.com",,,,"_autodiscover._tcp.clue-ces.com : DNS name does not exist"
"omelmasryeenhospital.gov.eg","wp-secure-cloudmail01.worldposta.com",,,
"omelmasryeenhospital.gov.eg","wp-secure-cloudmail02.worldposta.com",,,
"omelmasryeenhospital.gov.eg","wp-secure-cloudmail03.worldposta.com",,,
"omelmasryeenhospital.gov.eg","wp-secure-cloudmail04.worldposta.com",,,
"omelmasryeenhospital.gov.eg",,"WorldPosta-verification=KRtNYsPIvEH4kp2I762VFICJtR0cD16qrjaSCIREZnvKO4JTQD",,
"omelmasryeenhospital.gov.eg",,"v=spf1 mx include:_spf.worldposta.com -all",,
"omelmasryeenhospital.gov.eg",,,"autodiscover.worldposta.com",
"ht-egy.com","wp-secure-cloudmail01.worldposta.com",,,
"ht-egy.com","wp-secure-cloudmail02.worldposta.com",,,
"ht-egy.com","wp-secure-cloudmail03.worldposta.com",,,
"ht-egy.com","wp-secure-cloudmail04.worldposta.com",,,
"ht-egy.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"ht-egy.com",,,"autodiscover.worldposta.com",
"presentation-eg.com","wp-secure-cloudmail01.worldposta.com",,,
"presentation-eg.com","wp-secure-cloudmail02.worldposta.com",,,
"presentation-eg.com","wp-secure-cloudmail03.worldposta.com",,,
"presentation-eg.com","wp-secure-cloudmail04.worldposta.com",,,
"presentation-eg.com",,"v=spf1 +a +mx +ip4:82.113.145.208 +mx:server7.centrivision.com ~all",,
"presentation-eg.com",,"google-site-verification=8_zSuB6OfWnLiWOrZ6X69SGQqT4FR2mzpqi8nH9djUQ",,
"presentation-eg.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"presentation-eg.com",,,"autodiscover.worldposta.com",
"presentationsports.com","wp-secure-cloudmail01.worldposta.com",,,
"presentationsports.com","wp-secure-cloudmail02.worldposta.com",,,
"presentationsports.com","wp-secure-cloudmail03.worldposta.com",,,
"presentationsports.com","wp-secure-cloudmail04.worldposta.com",,,
"presentationsports.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"presentationsports.com",,,"autodiscover.worldposta.com",
"mavendevelopments.com","wp-secure-cloudmail03.worldposta.com",,,
"mavendevelopments.com","wp-secure-cloudmail02.worldposta.com",,,
"mavendevelopments.com","wp-secure-cloudmail04.worldposta.com",,,
"mavendevelopments.com","wp-secure-cloudmail01.worldposta.com",,,
"mavendevelopments.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"mavendevelopments.com",,,"autodiscover.worldposta.com",
"mixta-egypt.com","wp-secure-cloudmail04.worldposta.com",,,
"mixta-egypt.com","wp-secure-cloudmail02.worldposta.com",,,
"mixta-egypt.com","wp-secure-cloudmail03.worldposta.com",,,
"mixta-egypt.com","wp-secure-cloudmail01.worldposta.com",,,
"mixta-egypt.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"mixta-egypt.com",,,"",
"evacoeg.com","wp-secure-cloudmail04.worldposta.com",,,
"evacoeg.com","wp-secure-cloudmail01.worldposta.com",,,
"evacoeg.com","wp-secure-cloudmail03.worldposta.com",,,
"evacoeg.com","wp-secure-cloudmail02.worldposta.com",,,
"evacoeg.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"evacoeg.com",,,"autodiscover.worldposta.com",
"orient-paints.com","wp-secure-cloudmail01.worldposta.com",,,
"orient-paints.com","wp-secure-cloudmail02.worldposta.com",,,
"orient-paints.com","wp-secure-cloudmail03.worldposta.com",,,
"orient-paints.com","wp-secure-cloudmail04.worldposta.com",,,
"orient-paints.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"orient-paints.com",,"solid-cp-verification=0OuOhuLexoHnpCMjRAP0RrtTKswkcBgnyH2Kmn7x26KJ3GBRPC",,
"orient-paints.com",,,"autodiscover.worldposta.com",
"kith-kin.net","wp-secure-cloudmail04.worldposta.com",,,
"kith-kin.net","wp-secure-cloudmail03.worldposta.com",,,
"kith-kin.net","wp-secure-cloudmail02.worldposta.com",,,
"kith-kin.net","wp-secure-cloudmail01.worldposta.com",,,
"kith-kin.net",,"",,
"kith-kin.net",,,,"_autodiscover._tcp.kith-kin.net : DNS name does not exist"
"fgsltd.com","wp-secure-cloudmail04.worldposta.com",,,
"fgsltd.com","wp-secure-cloudmail03.worldposta.com",,,
"fgsltd.com","wp-secure-cloudmail01.worldposta.com",,,
"fgsltd.com","wp-secure-cloudmail02.worldposta.com",,,
"fgsltd.com",,"google-site-verification=1C3XGlnkywL8r1oFyc35xBdK7fQL6FJ88_KvEjAjsLQ",,
"fgsltd.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"fgsltd.com",,,"autodiscover.worldposta.com",
"souqbrands.com","",,,
"us-east-2.elb.amazonaws.com","",,,
"souqbrands.com",,"",,
"us-east-2.elb.amazonaws.com",,"",,
"souqbrands.com",,,"",
"souqbrands.com",,,"",
"findwell-eg.com","wp-secure-cloudmail03.worldposta.com",,,
"findwell-eg.com","wp-secure-cloudmail04.worldposta.com",,,
"findwell-eg.com","wp-secure-cloudmail02.worldposta.com",,,
"findwell-eg.com","wp-secure-cloudmail01.worldposta.com",,,
"findwell-eg.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"findwell-eg.com",,"ca3-9dfd61363ab24b94880699f7da1496ca",,
"findwell-eg.com",,,"autodiscover.worldposta.com",
"transmisr.com","wp-secure-cloudmail01.worldposta.com",,,
"transmisr.com","wp-secure-cloudmail02.worldposta.com",,,
"transmisr.com","wp-secure-cloudmail03.worldposta.com",,,
"transmisr.com","wp-secure-cloudmail04.worldposta.com",,,
"transmisr.com",,"v=spf1 +mx +a +ip4:216.194.161.135 +include:smtp.servconfig.com +include:_spf.worldposta.com -all",,
"transmisr.com",,,"autodiscover.worldposta.com",
"raatrading.com","wp-secure-cloudmail03.worldposta.com",,,
"raatrading.com","wp-secure-cloudmail04.worldposta.com",,,
"raatrading.com","wp-secure-cloudmail01.worldposta.com",,,
"raatrading.com","wp-secure-cloudmail02.worldposta.com",,,
"raatrading.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"raatrading.com",,,"autodiscover.worldposta.com",
"Roshdy.co","wp-secure-cloudmail01.worldposta.com",,,
"Roshdy.co","wp-secure-cloudmail02.worldposta.com",,,
"Roshdy.co","wp-secure-cloudmail03.worldposta.com",,,
"Roshdy.co","wp-secure-cloudmail04.worldposta.com",,,
"Roshdy.co",,"v=spf1 mx include:_spf.worldposta.com -all",,
"Roshdy.co",,,"autodiscover.worldposta.com",
"com","",,,
"com",,"",,
"roshdypharmacies.com",,,"",
"citglobal.com","wp-secure-cloudmail03.worldposta.com",,,
"citglobal.com","wp-secure-cloudmail01.worldposta.com",,,
"citglobal.com","wp-secure-cloudmail02.worldposta.com",,,
"citglobal.com","wp-secure-cloudmail04.worldposta.com",,,
"citglobal.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"citglobal.com",,,"autodiscover.worldposta.com",
"dorra.com","wp-secure-cloudmail01.worldposta.com",,,
"dorra.com","wp-secure-cloudmail02.worldposta.com",,,
"dorra.com","wp-secure-cloudmail03.worldposta.com",,,
"dorra.com","wp-secure-cloudmail04.worldposta.com",,,
"dorra.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"dorra.com",,,"autodiscover.worldposta.com",
"masajid.com","wp-secure-cloudmail04.worldposta.com",,,
"masajid.com","wp-secure-cloudmail01.worldposta.com",,,
"masajid.com","wp-secure-cloudmail02.worldposta.com",,,
"masajid.com","wp-secure-cloudmail03.worldposta.com",,,
"masajid.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"masajid.com",,,"autodiscover.worldposta.com",
"sanoeg.com","wp-secure-cloudmail01.worldposta.com",,,
"sanoeg.com","wp-secure-cloudmail03.worldposta.com",,,
"sanoeg.com","wp-secure-cloudmail02.worldposta.com",,,
"sanoeg.com","wp-secure-cloudmail04.worldposta.com",,,
"sanoeg.com",,"WorldPosta-verification=rds8lmsZdXP3cWsKoXbcRK78nW02E5gh9gswOwvUzhToqVTCOp",,
"sanoeg.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"sanoeg.com",,,"autodiscover.worldposta.com",
"DorraGroup.net","wp-secure-cloudmail01.worldposta.com",,,
"DorraGroup.net","wp-secure-cloudmail02.worldposta.com",,,
"DorraGroup.net","wp-secure-cloudmail03.worldposta.com",,,
"DorraGroup.net","wp-secure-cloudmail04.worldposta.com",,,
"DorraGroup.net",,"v=spf1 mx include:_spf.worldposta.com -all",,
"DorraGroup.net",,"WorldPosta-verification=lLd2a949N9iH3VXOGWpFWULfRuA0WSozP3zoSdFUjdMs0Uh0cF",,
"DorraGroup.net",,,"autodiscover.worldposta.com",
"shieldeg.com","wp-secure-cloudmail01.worldposta.com",,,
"shieldeg.com","wp-secure-cloudmail02.worldposta.com",,,
"shieldeg.com","wp-secure-cloudmail03.worldposta.com",,,
"shieldeg.com","wp-secure-cloudmail04.worldposta.com",,,
"shieldeg.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"shieldeg.com",,"WorldPosta-verification=DCc8AmhvFzjtD72cXCGxMX5Q99VH8oYzyXZbcRt5gOta6t6C7p",,
"shieldeg.com",,,"autodiscover.worldposta.com",
"serayvacationclub.com","wp-secure-cloudmail01.worldposta.com",,,
"serayvacationclub.com","wp-secure-cloudmail02.worldposta.com",,,
"serayvacationclub.com","wp-secure-cloudmail03.worldposta.com",,,
"serayvacationclub.com","wp-secure-cloudmail04.worldposta.com",,,
"serayvacationclub.com",,"WorldPosta-verification=QmBIj3fUTl8ryNlIGMBn1KdC6SN6rEqbHzL0XYZa4H5hDOht7O",,
"serayvacationclub.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"serayvacationclub.com",,,"autodiscover.worldposta.com",
"ezz-eldeen.com","wp-secure-cloudmail02.worldposta.com",,,
"ezz-eldeen.com","wp-secure-cloudmail01.worldposta.com",,,
"ezz-eldeen.com","wp-secure-cloudmail03.worldposta.com",,,
"ezz-eldeen.com","wp-secure-cloudmail04.worldposta.com",,,
"ezz-eldeen.com",,"facebook-domain-verification=fvoexstzflb2tqgha1bv3p1qmy96fr",,
"ezz-eldeen.com",,"WorldPosta-verification=FEimW4EzfFLeoVBbSjruJMieG9PdN87tkKAECgu0DD79RjkBFb",,
"ezz-eldeen.com",,,"autodiscover.worldposta.com",
"redconcon.com","wp-secure-cloudmail01.worldposta.com",,,
"redconcon.com","wp-secure-cloudmail02.worldposta.com",,,
"redconcon.com","wp-secure-cloudmail03.worldposta.com",,,
"redconcon.com","wp-secure-cloudmail04.worldposta.com",,,
"redconcon.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"redconcon.com",,"WorldPosta-verification=H6YuHNygsXjFPBTDaaV74VXeWv2WkNAh2DEN1lr3xXPvce1oXV",,
"redconcon.com",,,"autodiscover.worldposta.com",
"misrpharmacies.com","wp-secure-cloudmail04.worldposta.com",,,
"misrpharmacies.com","wp-secure-cloudmail01.worldposta.com",,,
"misrpharmacies.com","wp-secure-cloudmail02.worldposta.com",,,
"misrpharmacies.com","wp-secure-cloudmail03.worldposta.com",,,
"misrpharmacies.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"misrpharmacies.com",,,"autodiscover.worldposta.com",
"greens-pharmacies.com","wp-secure-cloudmail03.worldposta.com",,,
"greens-pharmacies.com","wp-secure-cloudmail04.worldposta.com",,,
"greens-pharmacies.com","wp-secure-cloudmail01.worldposta.com",,,
"greens-pharmacies.com","wp-secure-cloudmail02.worldposta.com",,,
"greens-pharmacies.com",,"WorldPosta-verification=beMtNXSmnacq1vCub32QS4VyhvStU6Np1QnOJdyGld1hrKehyC",,
"greens-pharmacies.com",,"SPF Value/TXT value: v=spf1 mx include:_spf.worldposta.com -all",,
"greens-pharmacies.com",,,"autodiscover.worldposta.com",
"cosmotrade.co","wp-secure-cloudmail04.worldposta.com",,,
"cosmotrade.co","wp-secure-cloudmail01.worldposta.com",,,
"cosmotrade.co","wp-secure-cloudmail02.worldposta.com",,,
"cosmotrade.co","wp-secure-cloudmail03.worldposta.com",,,
"cosmotrade.co",,"v=spf1 mx include:_spf.worldposta.com",,
"cosmotrade.co",,,"autodiscover.worldposta.com",
"ctgroups.net","wp-secure-cloudmail01.worldposta.com",,,
"ctgroups.net","wp-secure-cloudmail02.worldposta.com",,,
"ctgroups.net","wp-secure-cloudmail03.worldposta.com",,,
"ctgroups.net","wp-secure-cloudmail04.worldposta.com",,,
"ctgroups.net",,"v=spf1 mx include:_spf.worldposta.com",,
"ctgroups.net",,,"autodiscover.worldposta.com",
"skinrulesegy.com","wp-secure-cloudmail01.worldposta.com",,,
"skinrulesegy.com","wp-secure-cloudmail02.worldposta.com",,,
"skinrulesegy.com","wp-secure-cloudmail03.worldposta.com",,,
"skinrulesegy.com","wp-secure-cloudmail04.worldposta.com",,,
"skinrulesegy.com",,"v=spf1 a mx include:_spf.worldposta.com -all",,
"skinrulesegy.com",,"WorldPosta-verification=XCFCRGf8SxG5tbksRHOBkw1LK2oGN1uxCG8KjypAxDzGKcGCuF",,
"skinrulesegy.com",,,"autodiscover.worldposta.com",
"bio-medics.com","wp-secure-cloudmail01.worldposta.com",,,
"bio-medics.com","wp-secure-cloudmail02.worldposta.com",,,
"bio-medics.com","wp-secure-cloudmail03.worldposta.com",,,
"bio-medics.com","wp-secure-cloudmail04.worldposta.com",,,
"bio-medics.com",,"WorldPosta-verification=AIWsZnIPfrmmGodP9tDjUDH11GjeaExToe9Z4OKtYgbDwnuo2q",,
"bio-medics.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"bio-medics.com",,,"autodiscover.worldposta.com",
"capital-ib.com","capitalib-com01i.mail.protection.outlook.com",,,
"capital-ib.com",,"MS=ms94563224",,
"capital-ib.com",,"v=spf1 include:spf.protection.outlook.com -all",,
"capital-ib.com",,,,"_autodiscover._tcp.capital-ib.com : DNS name does not exist"
"cosmotica.co","wp-secure-cloudmail01.worldp",,,
"cosmotica.co","wp-secure-cloudmail02.worldposta.com",,,
"cosmotica.co","wp-secure-cloudmail03.worldposta.com",,,
"cosmotica.co","wp-secure-cloudmail04.worldposta.com",,,
"cosmotica.co",,"WorldPosta-verification=hED1zqmYIwVvYMzFfihcBMclfjfy5bzt5SnPsGLaozbqRXVy87",,
"cosmotica.co",,"v=spf1 mx include:_spf.worldposta.com -all",,
"cosmotica.co",,,"autodiscover.worldposta.com",
"Acrow.co","wp-secure-cloudmail04.worldposta.com",,,
"Acrow.co","wp-secure-cloudmail03.worldposta.com",,,
"Acrow.co","wp-secure-cloudmail02.worldposta.com",,,
"Acrow.co","wp-secure-cloudmail01.worldposta.com",,,
"Acrow.co",,"v=spf1 mx include:_spf.worldposta.com -all",,
"Acrow.co",,,"autodiscover.worldposta.com",
"accurateeg.com","accurateeg.com",,,
"accurateeg.com",,"v=spf1 +a +mx +ip4:135.125.236.136 +include:_spf.worldposta.com -all",,
"accurateeg.com",,,"",
"hassab.com","wp-secure-cloudmail01.worldposta.com",,,
"hassab.com","wp-secure-cloudmail02.worldposta.com",,,
"hassab.com","wp-secure-cloudmail03.worldposta.com",,,
"hassab.com","wp-secure-cloudmail04.worldposta.com",,,
"hassab.com",,"v=spf1 mx include:_spf.worldposta.com -all",,
"hassab.com",,,"autodiscover.worldposta.com",
"swissinternationalhotels.com","wp-secure-cloudmail02.worldposta.com",,,
"swissinternationalhotels.com","wp-secure-cloudmail03.worldposta.com",,,
"swissinternationalhotels.com","wp-secure-cloudmail04.worldposta.com",,,
"swissinternationalhotels.com","wp-secure-cloudmail01.worldposta.com",,,
"swissinternationalhotels.com",,"google-site-verification=CjTbX9FxpFyT0ZqSMDZ5i8uFeizgE2KQk5GR_onkcF0",,
"swissinternationalhotels.com",,"v=spf1 mx a include:_spf.synxis.com  include:_spf.ltxmail.synxis.com  include:_spf.worldposta.com ~all",,
"swissinternationalhotels.com",,,"autodiscover.worldposta.com",
"swissspirithotels.com","wp-secure-cloudmail01.worldposta.com",,,
"swissspirithotels.com","wp-secure-cloudmail02.worldposta.com",,,
"swissspirithotels.com","wp-secure-cloudmail03.worldposta.com",,,
"swissspirithotels.com","wp-secure-cloudmail04.worldposta.com",,,
"swissspirithotels.com",,"sso1=103788",,
"swissspirithotels.com",,"google-site-verification=bykhNspuM3VTAhaWpzFqN2zdAUHYmNaKMK8E_rIV4pc",,
"swissspirithotels.com",,"v=spf1 mx a include:_spf.synxis.com  include:_spf.ltxmail.synxis.com  include:_spf.worldposta.com ~all",,
"swissspirithotels.com",,,"autodiscover.int.secureserver.net",
"royalswisshotels.com","wp-secure-cloudmail02.worldposta.com",,,
"royalswisshotels.com","wp-secure-cloudmail03.worldposta.com",,,
"royalswisshotels.com","wp-secure-cloudmail04.worldposta.com",,,
"royalswisshotels.com","wp-secure-cloudmail01.worldposta.com",,,
"royalswisshotels.com",,"sso1=99e13c",,
"royalswisshotels.com",,"v=spf1 mx a include:_spf.synxis.com  include:_spf.ltxmail.synxis.com  include:_spf.worldposta.com ~all",,
"royalswisshotels.com",,"google-site-verification=2HIsseRYI55NMfWrjZlrr7J1j4KMWzinepx1Fr2L-UQ",,
"royalswisshotels.com",,,"autodiscover.worldposta.com",
